Rank,Author,Solved,Penalty,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012,1013
150,"team0695 scut2 华南理工大学",5,14:25:25,"00:09:14 (-1)",(-1),,"04:51:00 (-5)","03:22:52 (-2)",01:37:49,,,,"01:24:30 (-1)",,,
151,"team0020 ZJUT3 浙江工业大学",5,14:34:29,00:09:50,,,"04:44:44 (-4)","02:53:35 (-2)","01:42:47 (-2)",,,,"01:43:33 (-2)",,,
152,"team0955 广式柠檬茶 个人训练",5,14:38:24,"00:21:44 (-2)",,,"03:30:42 (-1)",01:41:36,00:28:28,,,,"04:35:54 (-9)",,,
153,"team0295 无限喵喵 成都理工大学",5,14:46:18,"00:30:48 (-2)",,,04:52:26,"03:21:41 (-3)",01:07:22,,(-1),,"02:14:01 (-3)",,,
154,"team0770 NFLS-T15 南京外国语学校",5,14:48:38,00:11:04,,,,"03:46:10 (-1)","02:08:09 (-1)",,(-10),,"04:25:29 (-6)",,"00:57:46 (-2)",
155,"team0787 树状数组 北京理工大学",5,15:07:20,"00:16:12 (-1)",,,"04:21:46 (-3)",04:17:34,"02:25:29 (-2)",,,,"01:06:19 (-2)",,,
156,"team0773 NFLS-T18 南京外国语学校",5,15:07:43,00:10:48,,,"04:36:51 (-2)","02:51:11 (-2)",03:38:09,,,,"01:50:44 (-2)",,,(-2)
157,"team0789 甄综术艺 浙江省瑞安中学",5,15:16:44,"00:11:47 (-1)",,,"04:41:06 (-1)","03:01:59 (-2)",01:56:20,,,,"03:05:32 (-3)",,,
158,"team0366 羲和算尺 东南大学",5,15:19:50,"00:20:33 (-1)",,,"04:29:45 (-3)",04:49:00,"00:57:28 (-1)",,,,"02:43:04 (-1)",,,
159,"team0144 南方科技大学2队 南方科技大学",5,15:25:16,"00:44:11 (-3)",,,"03:52:54 (-4)",04:33:42,02:16:28,,,,"01:18:01 (-1)",,,
160,"team0573 YWZX03 义乌中学",5,15:29:35,00:09:57,,,03:54:11,04:10:58,"01:18:19 (-1)",,,,"02:56:10 (-8)",,,
161,"team0245 NUIST_禁忌魔典 南京信息工程大学",5,15:34:39,"00:17:49 (-1)",,,"03:36:02 (-4)","04:45:40 (-1)",01:41:59,,,,"01:13:09 (-6)",,,
162,"team0526 绍一1队 绍兴市第一中学",5,15:39:56,"00:19:46 (-3)",,,"02:30:29 (-1)",03:36:05,00:51:27,,,,"04:42:09 (-7)",,,
163,"team0766 NFLS-T11 南京外国语学校",5,15:41:30,"00:18:31 (-1)",,,"03:50:41 (-6)","03:41:57 (-1)","00:37:41 (-1)",,,,"01:52:40 (-7)",,,
164,"team0775 NFLS-T20 南京外国语学校",5,15:45:26,"00:26:33 (-1)",,,"02:54:50 (-2)",,"03:26:58 (-3)",,"04:43:48 (-3)",,"00:53:17 (-1)",,,
165,"team0329 cumt2 中国矿业大学",5,15:46:00,"00:41:07 (-3)",,,04:42:00,02:15:58,02:56:35,,,,"03:30:20 (-2)",,,
166,"team0703 交流障碍星人 吉林大学",5,16:15:22,00:05:18,,,"03:52:24 (-4)",03:23:25,"01:31:53 (-1)",,(-1),,"02:42:22 (-9)",,(-10),
167,"team0111 浙商大3队 浙江工商大学",5,17:07:32,"00:21:47 (-1)",,,"03:38:40 (-1)","03:42:48 (-1)",01:39:47,,,,"02:04:30 (-14)",,,
168,"team0215 HITS005 哈尔滨工业大学",5,17:10:30,00:04:54,,,"04:06:54 (-2)","04:44:55 (-1)","02:11:17 (-3)",,,,"02:42:30 (-4)",,,
169,"team0202 YZUTEAM 扬州大学",5,17:12:15,"00:08:05 (-2)",,,"04:46:21 (-12)","02:54:29 (-1)",01:05:13,,,,"01:38:07 (-5)",,,
170,"team0088 SSL07 东莞市东莞中学松山湖学校",5,17:23:05,"00:20:50 (-1)",(-1),,"04:37:24 (-2)","04:55:00 (-1)",01:25:08,,,,"03:24:43 (-4)",,,
171,"team0470 njupt26t10 南京邮电大学",5,17:45:39,"00:42:29 (-1)",,,04:05:19,"04:37:26 (-3)",02:37:20,,,,"03:03:05 (-4)",,,
172,"team0230 六神合体 湖南长沙麓山国际实验学校",5,18:04:15,00:18:00,(-9),(-1),"01:11:11 (-1)",02:24:05,"01:51:26 (-1)",,(-2),,"04:19:33 (-22)",,,
173,"team0037 我们真的能骗到报销吗 安徽大学",5,18:07:39,"00:25:02 (-1)",,,"04:40:55 (-1)",04:43:57,"02:21:47 (-2)",,,,"03:15:58 (-4)",,,
174,"team0150 ZJNU-2 浙江师范大学",5,18:30:42,00:06:19,,,"04:24:58 (-16)","01:33:51 (-2)","02:08:51 (-4)",,,,"00:56:43 (-6)",,,
175,"team0314 华附9队 华南师范大学附属中学",5,18:33:24,"00:47:07 (-1)",,,"03:56:46 (-3)","02:16:09 (-4)",01:27:29,,(-1),,"02:45:53 (-14)",(-1),(-1),
176,"team0777 NFLS-T22 南京外国语学校",5,18:58:35,00:09:07,(-5),,"04:17:09 (-5)",03:54:47,"03:23:12 (-1)",,(-1),,"02:54:20 (-7)",,,
177,"team0728 次元沸腾 重庆大学",5,19:06:28,00:13:12,,,"04:58:52 (-5)","04:51:55 (-3)","01:41:34 (-1)",,,,"03:00:55 (-4)",,,
178,"team0902 2026杭电2队 杭州电子科技大学",5,19:08:57,00:16:10,,,"03:52:04 (-1)","03:17:39 (-1)","03:24:58 (-1)",,,,"02:38:06 (-14)",,,
179,"team0243 NUIST_幽魂形态 南京信息工程大学",5,20:16:59,"00:15:49 (-2)",,,04:45:46,"04:51:03 (-2)",01:37:37,,,,"03:46:44 (-11)",,,
180,"team0575 YWZX05 义乌中学",5,20:35:38,"00:10:45 (-2)",(-12),,03:14:49,04:19:31,01:47:25,,,,"03:43:08 (-20)",,,
181,"team0847 北化6队 北京化工大学",5,20:52:07,00:10:52,,,"04:57:07 (-3)","04:18:04 (-5)","01:41:56 (-4)",,,,"01:24:08 (-13)",,,
182,"team0572 YWZX02 义乌中学",5,21:08:09,"00:10:07 (-1)",,,"03:34:23 (-6)","04:20:40 (-4)",02:43:24,,,,"03:19:35 (-10)",,,
183,"team0252 这一发一定过 暨南大学",5,22:32:07,"00:07:44 (-5)",,,"03:40:10 (-3)","03:32:15 (-7)","00:39:20 (-1)",,(-5),,"01:12:38 (-24)",,,(-1)
184,"team0042 让我们AC吧 台州学院",5,23:16:12,"00:42:32 (-2)",,,"04:19:02 (-14)",03:15:35,"01:31:56 (-1)",,,,"03:47:07 (-12)",,,
185,"team0556 FZU1 福州大学",4,03:20:03,00:04:59,,,(-8),01:19:07,00:31:34,,(-7),,"00:44:23 (-2)",,,
186,"team0126 SZTU_原原 深圳技术大学",4,04:42:49,"00:13:15 (-3)",,,(-3),01:28:18,00:56:04,,(-1),,01:05:12,,,
187,"team0879 NUAA07 南京航空航天大学",4,05:10:21,00:10:18,,,,"02:13:37 (-1)",01:39:02,,,,00:47:24,,,
188,"team0797 最区队 北京航空航天大学",4,05:17:16,"00:13:40 (-1)",,,00:49:57,,"02:32:24 (-1)",,,,01:01:15,,,
189,"team0905 2026杭电5队 杭州电子科技大学",4,05:20:00,00:11:08,,,(-13),01:09:09,"02:15:09 (-2)",,,,01:04:34,,,
190,"team0309 华附4队 华南师范大学附属中学",4,05:23:17,00:35:37,,,(-3),02:00:35,00:50:27,,(-4),,"01:36:38 (-1)",,,
191,"team0437 zafu3 浙江农林大学",4,05:28:50,"00:26:42 (-1)",,,(-2),01:35:29,01:06:04,,,,"01:40:35 (-1)",,,
192,"team0027 超级地球真理部 苏州工学院",4,05:58:27,00:11:26,,,,03:02:35,01:28:43,,,,01:15:43,,,
193,"team0093 疑似mygo 北京邮电大学",4,06:02:41,"00:09:09 (-1)",(-1),,(-6),03:49:22,01:13:47,,(-1),,00:30:23,,,
194,"team0923 fduteam03 复旦大学",4,06:06:28,"00:13:01 (-2)",,,(-2),01:54:51,02:20:28,,,,"00:38:08 (-1)",,(-5),
195,"team0090 橙雨星瞳 北京邮电大学",4,06:10:09,"00:13:36 (-1)",,,(-7),02:27:22,01:18:40,,,,01:50:31,,,
196,"team0449 NEU_Team07 东北大学",4,06:12:49,00:13:42,,,(-3),02:16:20,02:05:06,,,,"00:57:41 (-2)",,,
197,"team0232 佐伯米莉亚 宁德师范学院",4,06:21:46,00:08:28,,,,,"00:54:14 (-1)",,03:23:05,,01:35:59,,,
198,"team0484 ecnu01 华东师范大学",4,06:23:22,00:24:33,,,(-3),"00:51:02 (-1)",00:40:46,,,,"02:47:01 (-4)",,,
199,"team0337 cumt10 中国矿业大学",4,06:25:22,"00:10:26 (-2)",,,(-6),03:50:50,01:09:35,,,,00:34:31,,,
200,"team0668 SWUN-T2 西南民族大学",4,06:31:36,"00:11:47 (-1)",(-1),,,03:24:29,01:38:38,,,,"00:36:42 (-1)",,,(-2)
201,"team0785 QZEZ02 衢州第二中学",4,06:34:36,"00:33:20 (-1)",(-4),,"01:31:17 (-1)",,02:39:48,,,,"00:50:11 (-1)",,,
202,"team0592 提姆兔 天津大学",4,06:36:28,00:14:24,,,(-1),03:14:23,01:15:59,,,,01:51:42,,,
203,"team0651 NJU-T01 南京大学",4,06:37:24,"00:16:30 (-1)",,,(-1),02:53:53,01:32:36,,,,01:34:25,,,
204,"team0177 永恒的武汉大学 武汉大学",4,06:39:50,00:34:49,,,,02:34:30,01:13:38,,,,02:16:53,,,
205,"team0911 2026杭电11队 杭州电子科技大学",4,06:43:39,00:14:40,,,(-17),03:01:37,00:58:07,,,,"02:09:15 (-1)",,,
206,"team0083 SSL02 东莞市东莞中学松山湖学校",4,06:43:47,00:07:16,(-3),,02:15:47,,01:01:39,,,,"01:59:05 (-4)",,,
207,"team0280 我也要写大模拟这对吗 南京理工大学",4,06:45:04,00:07:44,,,(-12),"02:58:10 (-1)",01:21:07,,,,"00:58:03 (-3)",,,
208,"team0881 NUAA09 南京航空航天大学",4,06:50:33,"00:11:23 (-1)",,,(-7),03:16:09,00:48:28,,,,"01:54:33 (-1)",,,
209,"team0343 棱镜球能抓到炫彩猫猫头吗 南京理工大学",4,06:53:08,"00:10:20 (-1)",,,(-4),"02:25:26 (-1)","01:40:37 (-1)",,,,"01:16:45 (-1)",,,
210,"team0855 ZJNU-7 浙江师范大学",4,06:54:39,"00:25:15 (-2)",,,(-3),"00:42:51 (-1)","01:37:03 (-1)",,,,02:49:30,,,
211,"team0760 NFLS-T05 南京外国语学校",4,07:03:33,00:08:50,,,(-3),02:29:15,"01:49:18 (-1)",,,,"00:56:10 (-4)",,,
212,"team0429 csu001 中南大学",4,07:30:37,00:14:23,,,,02:27:59,02:53:45,,,,"01:34:30 (-1)",,,
213,"team0165 菜园1队 湖南财政经济学院",4,07:31:04,"00:25:00 (-1)",,,(-3),"02:43:13 (-1)","01:25:10 (-1)",,(-1),,"01:37:41 (-1)",,,
214,"team0033 无尽能源 山东理工大学",4,07:35:10,00:11:51,,,,03:57:09,01:00:12,,,,02:25:58,,,
215,"team0114 宝小姐又换了手机号 华东师范大学",4,07:42:01,00:21:13,,,,"03:56:12 (-1)",00:44:10,,,,"02:00:26 (-1)",(-2),,
216,"team0332 cumt5 中国矿业大学",4,07:45:50,00:16:35,,,04:03:40,,00:56:23,,,,"01:49:12 (-2)",,,
217,"team0145 南方科技大学3队 南方科技大学",4,07:49:11,"00:17:37 (-3)",,,(-1),01:34:23,03:52:02,,,,01:05:09,,,
218,"team0844 北化3队 北京化工大学",4,07:50:09,"00:28:57 (-2)",,,(-1),03:10:01,"00:45:31 (-1)",,,,"01:45:40 (-2)",,,
219,"team0671 scmzu02 中南民族大学",4,07:53:53,00:15:22,,,,03:30:09,02:15:16,,,,"01:13:06 (-2)",,,
220,"team0451 NEU_Team09 东北大学",4,07:55:36,00:23:27,,,(-5),04:08:31,01:24:03,,,,"01:39:35 (-1)",,,
221,"team0843 北化2队 北京化工大学",4,08:06:43,"00:18:44 (-1)",,,(-2),"03:26:29 (-1)",01:48:36,,,,"00:52:54 (-3)",,,
222,"team0094 二阶堂艾玛 北京邮电大学",4,08:09:29,00:20:10,,,(-5),"03:40:28 (-1)",01:07:38,,(-6),,"02:01:13 (-2)",,,
223,"team0075 中航大3队 中国民航大学",4,08:09:33,00:56:09,,,,04:05:04,"01:52:43 (-1)",,,,00:55:37,,,
224,"team0078 中航大6队 中国民航大学",4,08:10:13,"00:19:31 (-1)",,,(-2),04:10:40,01:23:05,,,,01:56:57,,,
225,"team0903 2026杭电3队 杭州电子科技大学",4,08:11:19,"00:08:43 (-1)",,,(-7),"03:12:50 (-2)",01:36:02,,(-36),,"01:13:44 (-3)",,,
226,"team0091 我的青春算竞物语果然有问题 北京邮电大学",4,08:13:13,"00:16:16 (-1)",,,(-2),03:26:27,"01:17:20 (-1)",,,,"02:13:10 (-1)",,,
227,"team0781 SMZX03 佛山石门中学",4,08:14:19,"00:32:08 (-2)",,,(-5),"03:23:07 (-2)","01:44:22 (-2)",,,,00:34:42,,,
228,"team0763 NFLS-T08 南京外国语学校",4,08:15:38,"00:10:02 (-1)",,,,03:20:37,"02:41:22 (-2)",,,,01:03:37,,,
229,"team0810 nbu2 宁波大学",4,08:19:17,"00:15:33 (-1)",,,(-12),"03:41:40 (-1)",01:38:12,,,,"00:43:52 (-4)",,,
230,"team0353 HNUTEAM02 湖南大学",4,08:20:11,00:26:21,,,(-4),03:24:29,01:43:13,,,,"02:26:08 (-1)",,,
231,"team0302 某科学的一方通行 成都理工大学",4,08:22:40,00:23:17,,,03:51:30,,01:20:50,,,,"02:27:03 (-1)",,,
232,"team0118 杉淼 华东师范大学",4,08:27:39,00:05:06,,,,03:10:57,02:30:49,,,,"01:20:47 (-4)",,,
233,"team0439 zafu5 浙江农林大学",4,08:28:58,00:22:59,,,,"04:16:16 (-3)",01:06:11,,,,"01:23:32 (-1)",,,
234,"team0264 我vibe队友coding 东北大学秦皇岛分校",4,08:29:46,00:37:11,,,(-10),03:11:10,"01:07:35 (-1)",,,,"01:53:50 (-4)",,,
235,"team0910 2026杭电10队 杭州电子科技大学",4,08:34:02,00:06:09,(-1),,(-6),03:22:33,"01:51:08 (-3)",,,,"01:54:12 (-1)",,,
236,"team0748 全交给运气了 哈尔滨工业大学（威海）",4,08:34:16,"00:12:44 (-1)",,,(-5),"03:53:15 (-1)","01:38:06 (-3)",,,,01:10:11,,,
237,"team0263 队长带头玩galgame 东北大学秦皇岛分校",4,08:43:52,00:10:40,,,(-1),"03:17:24 (-1)","01:24:22 (-1)",,,,"02:11:26 (-3)",,,
238,"team0704 帮我开下A103 吉林大学",4,08:47:36,00:26:36,,,03:35:19,,"01:56:07 (-1)",,,,02:29:34,,,
239,"team0761 NFLS-T06 南京外国语学校",4,08:54:26,"00:06:52 (-1)",(-1),,,"03:13:39 (-1)","01:46:39 (-1)",,,,"02:27:16 (-1)",,,
240,"team0845 北化4队 北京化工大学",4,08:54:46,"00:12:56 (-2)",,,,"03:14:09 (-2)","01:33:44 (-2)",,,,"01:33:57 (-1)",,,
241,"team0096 异等小队 北京邮电大学",4,08:56:10,00:11:42,(-1),,02:51:14,04:34:32,,,,,"00:58:42 (-1)",,,
242,"team0291 北方工业大学2队 北方工业大学",4,09:14:19,"00:26:15 (-1)",,,(-1),03:11:12,"01:14:59 (-3)",,,,"02:01:53 (-3)",,,
243,"team0196 Formula_I_Push 福建理工大学",4,09:20:01,"00:11:57 (-1)",,,,"03:21:13 (-2)","01:08:37 (-2)",,,,"02:18:14 (-2)",,,
244,"team0462 njupt26t02 南京邮电大学",4,09:20:58,"00:24:33 (-1)",,,(-2),"03:40:11 (-3)","01:48:31 (-1)",,,,"01:07:43 (-2)",,,
245,"team0112 今晚吃什么 华东师范大学",4,09:21:21,"00:19:25 (-1)",,,(-9),"03:29:16 (-3)",01:17:20,,(-8),,"01:35:20 (-4)",,,
246,"team0115 哎哎我告诉你个秘密哎 华东师范大学",4,09:24:16,"00:16:11 (-1)",,,(-3),"03:12:22 (-2)","01:13:35 (-1)",,,,"02:22:08 (-3)",,,
247,"team0784 QZEZ01 衢州第二中学",4,09:25:48,00:05:32,,,"04:50:08 (-6)",,01:47:46,,,,00:42:22,,,
248,"team0446 NEU_Team04 东北大学",4,09:27:34,"00:18:40 (-1)",,,(-1),"03:50:08 (-1)","01:33:06 (-1)",,,,"02:25:40 (-1)",,,
249,"team0338 终焉断点 长沙理工大学",4,09:33:45,00:12:11,,,(-8),03:43:11,"01:58:58 (-1)",,,,"01:59:25 (-4)",,,
250,"team0225 南大软院1队 南昌大学",4,09:36:03,00:11:32,,,(-2),03:53:04,"01:04:28 (-1)",,,,"02:06:59 (-6)",,,
251,"team0786 星星之火 鲁东大学",4,09:37:52,"00:27:43 (-3)",,,,03:53:55,01:37:03,,,,"01:59:11 (-2)",,,
252,"team0559 FZU4 福州大学",4,09:38:28,"00:18:50 (-1)",,,(-4),03:53:06,02:17:35,,,,"01:48:57 (-3)",,,
253,"team0964 jcsteam 济宁孔子学校",4,09:39:57,"00:13:45 (-2)",,,,"04:08:05 (-3)",01:00:50,,(-30),,"01:17:17 (-4)",,,
254,"team0753 山海寻径 青岛大学",4,09:40:20,"00:19:21 (-3)",,,(-4),04:04:03,01:54:58,,,,"01:21:58 (-3)",,,
255,"team0510 清华10队 清华大学",4,09:45:41,00:57:06,,,"03:04:24 (-2)",,"00:52:37 (-1)",,,,"02:31:34 (-4)",,,
256,"team0586 UESTC-6队 电子科技大学",4,09:46:35,00:14:13,,,(-3),"03:29:52 (-3)",02:22:18,,,,"01:40:12 (-3)",,,
257,"team0073 中航大1队 中国民航大学",4,09:47:59,"00:27:55 (-2)",,,(-6),03:39:28,"02:36:14 (-1)",,,,"01:44:22 (-1)",,,
258,"team0231 湖工队 湖南工程学院",4,09:49:50,"00:14:49 (-1)",,,(-5),03:00:04,01:42:04,,,,"02:52:53 (-5)",,,
259,"team0238 NUIST_静默猎手 南京信息工程大学",4,09:55:27,"00:27:12 (-2)",,,,04:46:07,02:24:46,,,(-1),"01:17:22 (-1)",,,
260,"team0696 scut3 华南理工大学",4,09:56:40,"00:21:20 (-1)",,,,03:21:47,02:29:47,,,,"02:03:46 (-4)",,,
261,"team0032 夜航星 山东理工大学",4,09:58:13,"00:11:13 (-1)",,,,"03:21:07 (-5)","01:05:51 (-1)",,,,"02:00:02 (-3)",,,
262,"team0348 ztz 广东药科大学",4,10:01:00,02:28:06,,,(-4),01:54:36,"02:34:18 (-1)",(-1),(-1),02:44:00,(-4),(-1),,(-1)
263,"team0003 请输入文本 厦门大学嘉庚学院",4,10:01:27,00:17:59,,,03:51:06,,02:20:46,,,,"02:31:36 (-3)",,,
264,"team0064 WMU-1 温州医科大学",4,10:08:05,"00:23:53 (-1)",,,(-18),"04:39:24 (-1)",01:43:40,,,,"02:01:08 (-2)",,,
265,"team0026 非遗传承人 东北林业大学",4,10:08:55,"00:12:26 (-1)",,,03:45:16,(-11),01:57:45,,,,"02:33:28 (-4)",,,
266,"team0981 金陵1队 南京市第一中学",4,10:11:56,"00:14:32 (-1)",,,"03:33:34 (-6)",(-3),01:41:25,,,,"01:22:25 (-3)",,,
267,"team0193 刻板印象 湖南师范大学",4,10:11:59,"00:17:47 (-1)",,,(-3),"03:53:15 (-1)","00:58:39 (-1)",,,,"02:22:18 (-5)",,,
268,"team0061 哈吉利哟难买绿豆 四川吉利学院",4,10:17:53,"00:25:34 (-2)",,,,"04:38:43 (-1)",02:42:32,,,,"01:11:04 (-1)",,,
269,"team0764 NFLS-T09 南京外国语学校",4,10:23:12,"00:08:18 (-1)",(-3),,,03:39:37,01:55:17,,,,"03:20:00 (-3)",,,
270,"team0930 fduteam10 复旦大学",4,10:26:29,"00:32:15 (-4)",,,01:59:09,,01:25:02,,,,"03:10:03 (-6)",,,
271,"team0961 ZCMU01 浙江中医药大学",4,10:28:56,00:22:40,,,,03:40:06,01:19:21,,,,"02:46:49 (-7)",,,
272,"team0913 2026杭电13队 杭州电子科技大学",4,10:29:59,00:15:18,,,,"04:46:37 (-4)","02:24:58 (-1)",,,,01:23:06,,,
273,"team0049 赶紧起个神秘队名 天津工业大学",4,10:40:10,00:12:17,,,,04:23:54,"03:14:33 (-1)",,,,"01:49:26 (-2)",,,
274,"team0595 提姆夫艾无 天津大学",4,10:40:55,00:16:50,,,(-3),"03:42:06 (-3)",01:21:15,,,,"02:20:44 (-6)",,,
275,"team0776 NFLS-T21 南京外国语学校",4,10:45:24,00:11:17,,,(-2),02:45:28,"04:47:25 (-1)",,,,"02:01:14 (-2)",,,
276,"team0244 NUIST_封印王座 南京信息工程大学",4,10:46:16,"00:21:25 (-2)",,,(-2),"03:58:18 (-3)",03:31:06,,,,"00:55:27 (-1)",,,
277,"team0659 NJU-T09 南京大学",4,10:52:19,"00:20:43 (-1)",(-4),,,04:30:48,01:53:00,,,,"03:27:48 (-1)",,,
278,"team0667 SWUN-T1 西南民族大学",4,10:53:24,"00:14:12 (-2)",,,(-7),"03:36:00 (-2)",01:28:11,,,,"02:35:01 (-5)",,,
279,"team0435 zafu1 浙江农林大学",4,10:53:39,00:14:15,,,(-3),"04:38:46 (-6)",01:23:34,,,,"01:57:04 (-2)",,,
280,"team0216 猫猫虫小队 大连理工大学",4,11:00:13,00:19:24,,,,"03:46:11 (-1)","02:54:22 (-1)",,,,03:20:16,,,
281,"team0453 NEU_Team11 东北大学",4,11:02:42,00:08:04,(-5),,,"04:14:01 (-2)",02:11:01,,,,"02:29:36 (-4)",,,
282,"team0863 SHU01 上海大学",4,11:11:01,"00:27:05 (-2)",,,(-1),"03:46:03 (-1)","01:36:48 (-3)",,,,"02:21:05 (-3)",,,
283,"team0171 持久，五个小时不带停 个人训练",4,11:17:38,"00:12:09 (-3)",,,(-5),"03:57:17 (-1)","01:28:06 (-1)",,,,"02:20:06 (-5)",,,
284,"team0798 转人机 北京航空航天大学",4,11:18:17,"00:16:09 (-1)",,,,"04:51:30 (-4)",02:39:07,,,,01:51:31,,,
285,"team0258 东华大学一队 东华大学",4,11:23:15,"00:22:14 (-3)",,,(-5),03:12:50,00:26:50,,,,"01:41:21 (-14)",,,
286,"team0583 UESTC-3队 电子科技大学",4,11:34:19,"00:12:53 (-1)",,,"03:58:16 (-3)","04:50:05 (-1)",00:53:05,,,,(-12),,,
287,"team0009 大红鹰怎么能是野鸡呢 宁波财经学院",4,11:35:11,"00:18:59 (-3)",,,,"04:23:53 (-1)","02:19:24 (-1)",,,,"00:52:55 (-6)",,,(-5)
288,"team0809 nbu1 宁波大学",4,11:35:32,"00:16:58 (-1)",,,(-1),04:23:37,"03:02:41 (-3)",,,,"01:32:16 (-3)",,,
289,"team0579 YWZX09 义乌中学",4,11:38:26,"00:44:47 (-3)",,,02:41:52,"03:37:16 (-1)",03:14:31,,,,(-10),,(-1),
290,"team0279 经验加三 中国地质大学（武汉）",4,11:39:52,"00:45:16 (-5)",,,04:06:42,,"02:36:09 (-1)",,,,"01:51:45 (-1)",,,
291,"team0110 浙商大2队 浙江工商大学",4,11:44:49,"00:27:57 (-2)",,,"04:17:07 (-1)",04:42:54,01:16:51,,,,(-5),,,
292,"team0431 csu003 中南大学",4,11:45:58,"00:09:42 (-1)",,,,"02:44:23 (-1)","04:54:10 (-2)",,,,"01:37:43 (-3)",,,
293,"team0077 中航大5队 中国民航大学",4,11:46:01,"00:23:31 (-3)",,,(-1),"04:15:24 (-2)","01:16:59 (-1)",,,,"02:30:07 (-4)",,,
294,"team0915 2026杭电15队 杭州电子科技大学",4,11:46:22,"00:20:03 (-1)",,,(-3),"04:11:27 (-1)","02:55:02 (-6)",,,,"01:19:50 (-1)",,,
295,"team0092 三只企鹅 北京邮电大学",4,11:50:29,"00:20:21 (-1)",,,,04:51:51,"04:17:44 (-2)",,,,01:20:33,,,
296,"team0694 scut1 华南理工大学",4,11:55:37,00:17:26,,,(-1),04:33:37,"03:31:30 (-1)",,,,03:13:04,,,
297,"team0322 hit2队 哈尔滨工业大学（深圳）",4,12:00:53,"00:27:48 (-1)",,,,"03:13:08 (-1)",03:57:02,,,,"03:02:55 (-2)",,,
298,"team0749 #def_int_ll 哈尔滨工业大学（威海）",4,12:01:44,"00:21:31 (-3)",,,03:16:35,,"04:45:47 (-1)",,,,"01:37:51 (-2)",,,
299,"team0790 以应时需 浙江省瑞安中学",4,12:03:38,"00:10:08 (-3)",(-1),,(-2),"02:59:49 (-1)",01:32:50,,,,"03:40:51 (-7)",,,(-2)
300,"team0606 Dyca 合肥168中学",4,12:12:01,"00:44:27 (-3)",,,,,00:37:32,,(-4),,"02:41:36 (-9)",,04:08:26,
301,"team0089 不是清北一队 北京邮电大学",4,12:18:33,00:16:46,(-1),,(-10),"04:52:38 (-2)","01:49:58 (-1)",,,,"03:19:11 (-3)",,,
302,"team0908 2026杭电8队 杭州电子科技大学",4,12:23:15,"00:38:02 (-5)",,,04:52:59,(-6),01:41:58,,(-1),,"02:50:16 (-2)",,,
303,"team0892 零基础老登10086队 东华理工大学",4,12:25:12,"00:15:47 (-1)",,,04:37:23,,01:47:05,,,,"03:44:57 (-5)",,,
304,"team0105 兰树号 山东科技大学",4,12:26:25,"00:18:58 (-3)",,,04:14:05,,02:10:18,,,,"02:43:04 (-6)",,,
305,"team0234 浙江财经大学2队 浙江财经大学",4,12:26:46,00:19:56,,,(-4),"02:50:38 (-9)",01:06:53,,,,"02:49:19 (-7)",,,
306,"team0260 傲娇白毛萝莉 东北大学秦皇岛分校",4,12:33:32,"00:13:09 (-2)",,,,"03:51:09 (-1)",02:18:37,,,,"04:30:37 (-2)",,,
307,"team0030 EOF 山东理工大学",4,12:36:54,00:10:18,,,,"03:04:22 (-2)","01:26:54 (-1)",,,,"03:35:20 (-10)",,,
308,"team0496 打铁是你的谎言 北京理工大学",4,12:41:27,00:11:09,,,"04:49:47 (-7)",,"00:57:36 (-2)",,,,"02:22:55 (-4)",,,
309,"team0198 雷神天明闪 长春理工大学",4,12:43:08,"00:34:41 (-3)",,,(-5),"04:12:54 (-1)",03:39:38,,,,"02:15:55 (-2)",,,
310,"team0432 csu004 中南大学",4,12:46:32,"00:24:19 (-2)",(-1),,,02:57:18,"02:46:27 (-4)",,,,"01:18:28 (-10)",,(-1),
311,"team0482 njupt26t22 南京邮电大学",4,12:52:49,"00:57:10 (-2)",,,,"04:55:00 (-2)","01:21:26 (-1)",,,,"02:59:13 (-3)",,,
312,"team0006 回到夏天 浙江工商大学",4,12:53:11,"00:26:56 (-1)",,,"04:09:42 (-2)",,"02:28:17 (-1)",,,,"02:48:16 (-5)",,,
313,"team0355 HNUTEAM04 湖南大学",4,12:55:43,"00:35:36 (-2)",,,,04:57:34,"01:59:45 (-1)",,,,"03:42:48 (-2)",,,
314,"team0946 DC1队 绵阳东辰学校",4,13:07:41,00:09:46,,,,02:02:48,"01:22:11 (-2)",,,,"03:52:56 (-15)",,,
315,"team0051 能过样例直接交 衡水学院",4,13:20:58,01:24:40,,,,04:55:48,"02:47:13 (-1)",,,,"03:33:17 (-1)",,,
316,"team0717 悲怆 吉林大学",4,13:30:32,00:09:09,,,(-1),03:53:42,"04:14:01 (-2)",,,,"03:13:40 (-4)",,,
317,"team0832 htu001 河南师范大学",4,13:37:36,"00:14:00 (-1)",,,,"04:12:40 (-3)",02:13:44,,,,"04:37:12 (-3)",,,
318,"team0160 宁波理工1队 浙大宁波理工学院",4,13:38:14,"00:22:03 (-1)",,,"04:32:56 (-1)",,01:50:42,,,,"02:52:33 (-10)",,(-1),
319,"team0831 我不是起名大师 河南师范大学",4,13:39:54,00:25:07,,,,04:55:17,03:58:46,,,,"03:00:44 (-4)",,,
320,"team0292 北方工业大学3队 北方工业大学",4,13:43:25,"00:28:26 (-5)",,,,04:50:32,03:48:26,,,,"01:36:01 (-4)",,,
