Rank,Author,Solved,Penalty,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012,1013
30,"team0365 为什么演奏#include 东南大学",6,11:14:13,00:07:05,(-10),,"01:44:07 (-2)",03:31:07,00:46:03,,(-12),,"01:03:41 (-3)",,02:22:10,
31,"team0774 NFLS-T19 南京外国语学校",6,11:15:58,00:05:10,(-6),,01:50:41,01:22:43,"00:22:31 (-1)",,"01:40:21 (-4)",,(-8),,"02:54:32 (-4)",
32,"team0364 AC自动坤 东南大学",6,11:20:01,"00:14:25 (-1)",(-8),,"03:03:00 (-1)",01:12:11,"00:50:39 (-5)",,(-7),,01:39:56,,"01:39:50 (-1)",
33,"team0788 毛球 深圳中学",6,11:48:51,00:08:55,(-1),,02:21:15,02:00:54,00:32:14,,"04:35:40 (-2)",,01:29:53,,,
34,"team0744 先生，这得花不少token 哈尔滨工业大学（威海）",6,11:50:56,"00:14:54 (-1)",,,"02:04:21 (-1)",02:11:06,"00:30:18 (-1)",(-1),,,"01:10:21 (-1)",,"03:59:56 (-1)",
35,"team0924 fduteam04 复旦大学",6,12:17:57,"00:13:47 (-1)",(-6),,"02:37:04 (-2)",01:47:43,00:58:47,,03:25:25,,"01:15:11 (-3)",,(-1),
36,"team0425 长郡中学3队 长沙市长郡中学",6,12:36:18,"00:15:45 (-2)","01:14:17 (-3)",,02:39:42,"02:37:05 (-1)",01:31:18,,(-14),,"01:18:11 (-3)",,,
37,"team0780 SMZX02 佛山石门中学",6,12:40:48,00:15:17,(-2),,"02:08:12 (-2)","01:59:00 (-1)",01:07:02,,"04:20:38 (-4)",,00:30:39,,,
38,"team0321 hit1队 哈尔滨工业大学（深圳）",6,12:49:25,00:09:37,,,"02:53:20 (-3)","02:10:59 (-1)",03:32:59,,"01:09:37 (-1)",,"00:52:53 (-1)",,(-2),
39,"team0943 HKUST(GZ)008 香港科技大学",6,12:57:07,"00:32:11 (-1)",,,02:16:40,01:40:11,00:42:35,,(-1),,02:10:54,,"04:34:36 (-2)",
40,"team0888 明天一定要开一场了 西安交通大学",6,13:08:22,00:10:19,,,"02:56:13 (-3)",01:05:42,00:59:50,,"04:45:36 (-4)",,00:50:42,,,
41,"team0957 奶龙大游行 个人训练",6,13:22:08,00:04:37,,,00:37:48,"02:18:36 (-1)",00:16:12,,"03:33:19 (-7)",(-2),"01:51:36 (-6)",,,
42,"team0929 fduteam09 复旦大学",6,13:31:04,"00:09:02 (-1)",,,"01:35:36 (-2)","02:05:50 (-1)",00:46:07,,"03:56:27 (-4)",,"01:18:02 (-3)",,,(-19)
43,"team0894 厦大二队 厦门大学",6,13:31:38,"00:13:52 (-1)",,,"01:19:39 (-1)",02:01:05,"01:50:26 (-4)",,,,00:46:47,,"04:39:49 (-2)",
44,"team0499 清华附中2队 清华大学附属中学",6,13:45:18,00:06:09,,,"02:09:34 (-5)","02:00:19 (-3)",00:48:31,,03:08:00,,"01:32:45 (-4)",,(-16),(-10)
45,"team0326 双十中学1队 福建省厦门双十中学",6,13:57:31,00:11:57,,,"03:53:27 (-2)","01:55:21 (-1)",00:42:25,,,,01:21:51,,04:52:30,
46,"team0901 2026杭电1队 杭州电子科技大学",6,14:07:48,"00:09:54 (-1)",,,"02:20:36 (-3)",02:26:40,00:57:12,,"03:43:17 (-3)",,"01:50:09 (-1)",,(-2),(-5)
47,"team0783 NFLS-T28 南京外国语学校",6,14:31:00,00:39:51,,,"04:03:02 (-2)",02:11:04,"01:37:20 (-1)",,,,00:31:56,,"04:07:47 (-1)",
48,"team0206 湘潭大学1队 湘潭大学",6,14:37:11,00:12:39,,,02:56:20,03:34:16,"00:36:12 (-1)","02:28:19 (-1)",,,"02:09:25 (-6)",,,
49,"team0925 fduteam05 复旦大学",6,14:44:13,00:11:37,,,"01:22:18 (-2)",02:40:16,"01:11:23 (-1)",,(-2),,"01:20:26 (-4)",,"04:18:13 (-4)",(-8)
50,"team0808 六兆年零一夜的ACM 西安交通大学",6,14:57:08,00:07:04,,,"02:36:47 (-2)",02:25:25,01:39:48,,"04:05:40 (-4)",,"01:02:24 (-3)",,,
51,"team0934 狼狼狼 西南财经大学",6,15:16:31,"00:19:12 (-1)",,,"03:34:28 (-3)",02:12:21,01:51:09,,04:42:36,,"00:56:45 (-1)",,,
52,"team0054 队名 四川大学",6,15:20:09,"00:09:01 (-1)",(-1),,"02:42:20 (-2)",01:55:36,01:23:54,,"04:45:29 (-2)",,"01:03:49 (-5)",,(-2),
53,"team0941 HKUST(GZ)006 香港科技大学",6,15:24:39,"00:12:21 (-1)",,,01:09:04,02:30:19,"04:59:22 (-2)",,"03:20:40 (-3)",,"00:32:53 (-2)",,(-5),
54,"team0368 Moonlight 东南大学",6,15:34:32,"00:08:22 (-1)",(-1),,02:55:58,03:16:04,"00:52:39 (-1)",,04:54:59,,"02:26:30 (-1)",,(-2),
55,"team0442 关注李兰小猫咪谢谢喵 湖南师范大学附属中学",6,15:54:49,"00:06:47 (-1)",,,"02:53:40 (-1)","00:54:37 (-1)",00:36:02,,"04:25:02 (-6)",,"02:18:41 (-5)",,(-7),
56,"team0893 厦大一队 厦门大学",6,16:12:52,"00:09:05 (-1)",,,"03:08:08 (-1)","03:42:08 (-3)",01:07:15,,04:35:53,,01:50:23,,,
57,"team0891 紫色的向日葵 个人训练",6,16:37:23,00:12:40,,,"03:20:06 (-1)",02:44:46,00:50:16,,"04:39:17 (-8)",,01:50:18,,,
58,"team0558 FZU3 福州大学",6,16:40:26,00:06:13,,,03:16:26,"03:11:59 (-1)","01:00:07 (-1)",,"04:15:06 (-1)",,"02:30:35 (-4)",,,
59,"team0223 小来啃老，老来啃小 上海师范大学",6,16:52:31,00:05:59,,,"03:14:03 (-2)","03:37:34 (-1)",00:31:37,,,,"02:17:59 (-5)",,04:25:19,
60,"team0352 HNUTEAM01 湖南大学",6,16:58:23,"00:33:10 (-1)",,,"02:33:02 (-1)","04:34:43 (-2)",01:03:03,,,,"02:39:54 (-1)",,03:54:31,
61,"team0576 YWZX06 义乌中学",6,17:43:36,00:11:00,04:26:18,,03:15:00,04:20:19,01:47:39,,(-2),,03:43:20,,,
62,"team0954 GodKnows 个人训练",6,18:40:11,"00:17:00 (-2)",,,03:13:27,02:29:49,"01:19:42 (-1)",(-2),"02:10:04 (-17)",,"01:50:09 (-2)",(-1),(-10),
