Rank,Author,Solved,Penalty,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012
152,"team0445 NEU_Team03 东北大学",5,15:56:49,"04:55:35 (-1)",,,"03:57:06 (-2)",,(-6),,"00:56:50 (-1)",,"02:22:38 (-1)",02:04:40,
153,"team0559 FZU4 福州大学",5,16:01:41,,,,02:20:32,,(-1),04:39:03,"01:37:19 (-2)",,"03:25:14 (-7)",00:59:33,
154,"team0259 东华大学二队 东华大学",5,16:03:12,,,,02:28:31,,,04:23:09,"01:41:50 (-1)",,"03:32:37 (-6)","01:17:05 (-1)",
155,"team0902 2026杭电2队 杭州电子科技大学",5,16:05:02,,,,01:05:23,,(-1),"03:09:07 (-1)","02:03:37 (-1)",,"04:29:35 (-8)",01:57:20,
156,"team0470 njupt26t10 南京邮电大学",5,16:26:18,,,,"04:23:41 (-1)",,"04:48:40 (-1)",,"01:48:43 (-1)",,"02:54:59 (-2)",00:50:15,
157,"team0094 二阶堂艾玛 北京邮电大学",5,16:27:07,,,,"02:53:38 (-10)",,,03:49:45,"02:13:20 (-5)",,"01:29:09 (-2)",00:21:15,
158,"team0728 次元沸腾 重庆大学",5,16:38:00,,,,"04:31:07 (-2)",,(-2),04:02:37,"01:40:28 (-5)",,"02:33:10 (-2)",00:50:38,
159,"team0591 提姆玩 天津大学",5,16:56:09,(-2),,,"04:19:15 (-2)",,,04:25:27,"01:35:08 (-2)",,"03:34:33 (-2)",01:01:46,
160,"team0955 广式柠檬茶 个人训练",5,17:19:16,,,,"03:04:07 (-2)",,,"01:48:22 (-1)","00:37:57 (-2)",,"03:50:22 (-8)",03:38:28,
161,"team0897 厦大五队 厦门大学",5,19:11:39,,,,"04:38:05 (-1)",,,03:21:05,"01:32:13 (-2)",,02:47:18,"04:52:58 (-3)",
162,"team0433 csu005 中南大学",5,20:25:06,,,,(-20),,"04:18:57 (-1)",04:33:14,"02:29:39 (-7)",,"02:55:12 (-4)",02:08:04,
163,"team0572 YWZX02 义乌中学",5,22:39:50,(-13),,,"03:41:07 (-10)",,,"04:21:29 (-4)","00:36:20 (-2)",,"02:46:22 (-8)","02:34:32 (-2)",
164,"team0212 HITS002 哈尔滨工业大学",4,06:03:30,,,,"01:02:18 (-1)",,,,"00:51:56 (-1)",,03:05:34,00:23:42,
165,"team0442 关注李兰小猫咪谢谢喵 湖南师范大学附属中学",4,06:23:23,,(-2),,(-3),,(-8),"02:25:58 (-1)","00:53:56 (-1)",,"01:36:15 (-1)",00:27:14,
166,"team0462 njupt26t02 南京邮电大学",4,06:26:03,,,,"02:36:25 (-1)",,,,00:38:57,,00:41:16,"01:29:25 (-2)",
167,"team0798 转人机 北京航空航天大学",4,06:29:35,,,,"02:35:04 (-1)",,,(-6),01:26:08,,01:43:04,00:25:19,
168,"team0695 scut2 华南理工大学",4,06:43:02,,,,03:11:50,,,,01:16:25,,01:30:06,00:44:41,
169,"team0177 永恒的武汉大学 武汉大学",4,06:46:23,,,,03:13:14,,,,01:05:27,,01:55:08,00:32:34,
170,"team0092 三只企鹅 北京邮电大学",4,06:59:30,,,,"03:00:44 (-1)",,,(-4),"02:06:30 (-1)",,00:32:57,00:39:19,
171,"team0658 NJU-T08 南京大学",4,07:02:42,,,,(-11),,,03:13:28,"01:14:52 (-2)",,01:30:37,00:23:45,
172,"team0174 湖州师大1队 湖州师范大学",4,07:14:51,,,,03:08:19,,,,01:19:05,,01:58:19,00:49:08,
173,"team0881 NUAA09 南京航空航天大学",4,07:27:29,,,,"02:35:27 (-1)",,,,"01:35:23 (-2)",,00:54:47,"01:01:52 (-1)",
174,"team0204 紧闭的恋之瞳 西安欧亚学院",4,07:34:40,,,,03:29:10,,,,02:18:38,,01:31:41,00:15:11,
175,"team0915 2026杭电15队 杭州电子科技大学",4,07:42:33,,,,"01:09:28 (-1)",,,,00:45:08,,"03:02:28 (-2)",01:45:29,
176,"team0712 醉星河 吉林大学",4,07:45:08,,,,"03:23:48 (-1)",,,(-6),01:29:27,,"01:06:12 (-1)",01:05:41,
177,"team0123 愿此行终抵final 西南财经大学",4,07:47:52,,,,02:04:04,,,,01:03:11,,"03:23:47 (-2)",00:36:50,
178,"team0005 安师大算法竞赛集训队 安徽师范大学",4,07:56:11,,,,03:20:27,,,,"01:28:34 (-1)",,"01:56:43 (-1)",00:30:27,
179,"team0906 2026杭电6队 杭州电子科技大学",4,07:57:04,,,,(-6),,,"02:27:51 (-2)",01:28:48,,"01:33:20 (-2)",01:07:05,
180,"team0661 NJU-T11 南京大学",4,08:04:52,,,,(-5),,(-2),02:50:26,"01:11:05 (-2)",,"02:12:43 (-2)",00:30:38,
181,"team0224 _clear._ 上海师范大学",4,08:31:09,,,,03:21:24,,(-4),(-1),"02:39:40 (-2)",,00:32:54,01:17:11,
182,"team0434 csu006 中南大学",4,08:33:28,,,,02:33:19,,(-5),,"01:35:10 (-5)",,"01:31:03 (-2)",00:33:56,
183,"team0109 浙商大1队 浙江工商大学",4,08:35:33,,,,"00:46:51 (-1)",,,,"02:13:15 (-4)",,"02:21:31 (-1)","00:53:56 (-1)",
184,"team0586 UESTC-6队 电子科技大学",4,08:35:33,,,,02:46:21,,,(-3),"01:24:55 (-1)",,"03:00:20 (-1)",00:43:57,
185,"team0796 优雅绽放的墨染樱 北京航空航天大学",4,08:44:50,,,,"03:49:54 (-1)",,(-3),,00:56:41,,02:08:48,01:29:27,
186,"team0704 帮我开下A103 吉林大学",4,08:50:10,,,,"04:11:50 (-1)",,(-1),(-1),"01:14:54 (-1)",,"01:38:30 (-1)",00:44:56,
187,"team0028 打完回家玩超级好玩的我的世界有没有懂的 长春大学",4,08:58:31,,,,03:58:43,,,,02:08:42,,01:37:20,"00:53:46 (-1)",
188,"team0768 NFLS-T13 南京外国语学校",4,09:07:58,,,,,,,03:02:29,"01:45:41 (-3)",,"02:16:32 (-2)",00:23:16,
189,"team0266 搞得跟真的一样 安徽工业大学",4,09:23:05,,,,"03:30:34 (-1)",,,,"01:24:31 (-1)",,"02:28:56 (-1)",00:59:04,
190,"team0553 温中3队 温州中学",4,09:28:04,,,,"04:05:48 (-1)",,,02:04:10,"01:05:29 (-1)",,(-7),"01:12:37 (-1)",
191,"team0903 2026杭电3队 杭州电子科技大学",4,09:37:22,,,,"03:44:08 (-6)",,,,"00:31:18 (-1)",,"01:05:39 (-2)",01:16:17,
192,"team0793 WA自动机 北京航空航天大学",4,09:46:10,,,,02:53:32,,,,"01:29:05 (-2)",,"03:13:28 (-2)",00:50:05,
193,"team0160 宁波理工1队 浙大宁波理工学院",4,09:46:25,,,,(-4),,,04:32:53,"00:40:27 (-2)",,"02:15:22 (-2)",00:57:43,
194,"team0748 全交给运气了 哈尔滨工业大学（威海）",4,09:50:11,,,,"03:40:44 (-3)",,(-18),,"01:23:22 (-3)",,01:27:51,"00:38:14 (-2)",
195,"team0091 我的青春算竞物语果然有问题 北京邮电大学",4,09:50:26,,,,03:34:13,,(-3),,"01:40:08 (-1)",,"02:41:40 (-1)",01:14:25,
196,"team0801 504-大脑连接超时 南开大学",4,09:55:20,,,,"03:16:13 (-1)",,,,"03:20:24 (-3)",,01:03:50,"00:34:53 (-1)",
197,"team0694 scut1 华南理工大学",4,09:56:28,,,,03:43:56,,,,00:34:49,,01:53:29,"03:04:14 (-2)",
198,"team0625 新生也疯狂-2 杭州电子科技大学",4,09:57:39,,,,(-2),,,04:39:46,"02:07:00 (-1)",,"01:35:50 (-2)",00:35:03,
199,"team0670 scmzu01 中南民族大学",4,10:01:56,,,,04:09:23,,,,"01:13:21 (-2)",,"02:43:10 (-2)",00:36:02,
200,"team0592 提姆兔 天津大学",4,10:03:07,,,,03:49:49,,(-2),02:52:56,"01:12:16 (-1)",,(-4),"01:28:06 (-1)",
201,"team0837 万里2队 浙江万里学院",4,10:06:29,,,,02:32:04,,(-1),,"03:15:24 (-4)",,01:54:35,01:04:26,
202,"team0226 南大软院2队 南昌大学",4,10:06:52,,,,02:03:06,,,,"03:19:58 (-4)",,"02:11:01 (-1)","00:32:47 (-1)",
203,"team0096 异等小队 北京邮电大学",4,10:07:08,(-2),,,(-5),,(-4),02:56:09,"01:49:43 (-1)",,"02:18:04 (-2)","01:43:12 (-1)",
204,"team0484 ecnu01 华东师范大学",4,10:08:33,,,,(-1),,,03:27:12,"00:50:45 (-1)",,"04:27:40 (-2)",00:22:56,
205,"team0629 新生也疯狂-6 杭州电子科技大学",4,10:10:57,,,,03:59:09,,,,01:34:53,,"02:57:03 (-2)",00:59:52,
206,"team0256 码上要疯了 中国地质大学（北京）",4,10:19:31,,,,01:58:05,,(-3),,"01:56:59 (-3)",,"03:11:50 (-4)",00:52:37,
207,"team0338 终焉断点 长沙理工大学",4,10:28:23,,,,04:06:31,,,,00:55:37,,"03:07:03 (-2)",01:39:12,
208,"team0958 巴巴爸爸变变变 个人训练",4,10:30:42,,,,(-8),,,03:58:15,01:05:56,,02:23:18,"02:23:13 (-2)",
209,"team0926 fduteam06 复旦大学",4,10:56:24,,,,(-7),,,"03:15:08 (-2)","01:42:32 (-3)",,"01:09:29 (-1)","02:29:15 (-1)",
210,"team0939 HKUST(GZ)004 香港科技大学",4,10:57:01,,,,"04:09:56 (-3)",,(-1),,"02:20:37 (-4)",,00:56:56,01:09:32,
211,"team0290 北方工业大学1队 北方工业大学",4,10:58:52,,,,02:37:59,,,(-4),"01:39:22 (-2)",,"02:49:42 (-1)","01:51:49 (-3)",
212,"team0107 渡鸦号 山东科技大学",4,11:00:35,,,,04:02:37,,,,01:47:43,,03:05:27,02:04:48,
213,"team0510 清华10队 清华大学",4,11:02:53,,,,"03:31:59 (-1)",,,,"01:29:04 (-1)",,"01:06:42 (-1)",03:55:08,
214,"team0062 哦吼吼吼吼 广西师范大学",4,11:04:17,,,,04:13:49,,,,00:49:46,,"03:14:35 (-1)",02:26:07,
215,"team0636 杭州育才5队 杭州育才中学",4,11:07:16,,,,(-1),,(-6),03:55:46,"03:01:40 (-5)",,00:51:55,"00:57:55 (-2)",
216,"team0938 HKUST(GZ)003 香港科技大学",4,11:11:10,,,,"03:32:16 (-2)",,,,"02:05:31 (-4)",,02:42:08,00:51:15,
217,"team0826 不重要 华中科技大学",4,11:11:32,,,,03:04:28,,,,"02:11:53 (-3)",,"03:40:26 (-1)",00:54:45,
218,"team0415 HZCU01 浙大城市学院",4,11:14:30,,,,02:48:12,,(-2),,"01:37:07 (-2)",,"04:36:22 (-3)",00:32:49,
219,"team0118 杉淼 华东师范大学",4,11:18:54,,(-2),,"02:23:28 (-2)",,,,"01:23:16 (-3)",,03:14:37,02:37:33,
220,"team0772 NFLS-T17 南京外国语学校",4,11:23:41,,,,"02:50:19 (-3)",,,,01:17:45,,"03:11:28 (-2)",02:24:09,
221,"team0450 NEU_Team08 东北大学",4,11:26:56,,,,"04:05:46 (-1)",,,,01:26:59,,"03:22:08 (-1)",01:52:03,
222,"team0298 吃瓜群众 成都理工大学",4,11:40:21,,,,"04:32:49 (-1)",,,,"01:50:33 (-1)",,"03:09:16 (-1)",01:07:43,
223,"team0706 请输入代码 吉林大学",4,11:40:27,,,,"02:54:09 (-1)",,(-1),,"02:35:53 (-4)",,"02:00:34 (-5)",00:49:51,
224,"team0263 队长带头玩galgame 东北大学秦皇岛分校",4,11:46:31,,,,,,02:24:54,,03:06:37,,04:08:24,"01:46:36 (-1)",
225,"team0243 NUIST_幽魂形态 南京信息工程大学",4,11:56:28,,,,,,(-3),"04:21:23 (-3)","02:08:34 (-1)",,"02:33:05 (-4)",00:13:26,
226,"team0215 HITS005 哈尔滨工业大学",4,11:57:23,,,,,,,04:23:54,"01:54:26 (-2)",,"03:10:55 (-2)",01:08:08,
227,"team0184 葬送的acmer与香辛料 中国传媒大学",4,12:00:12,,,,"04:30:48 (-5)",,,,"01:26:22 (-4)",,02:21:19,00:41:43,
228,"team0258 东华大学一队 东华大学",4,12:00:49,,,,04:25:53,,,,"01:53:40 (-3)",,"02:55:07 (-1)","01:06:09 (-1)",
229,"team0983 金陵3队 南京市第一中学",4,12:03:57,,,,"02:20:47 (-2)",,,"04:19:32 (-1)",(-6),,03:23:29,01:00:09,
230,"team0831 我不是起名大师 河南师范大学",4,12:04:40,,,,"04:39:03 (-3)",,,,"01:26:56 (-1)",,03:04:20,01:34:21,
231,"team0273 膜模莫 中国地质大学（武汉）",4,12:04:57,,,,"03:48:34 (-6)",,,,01:42:02,,01:44:13,02:50:08,
232,"team0090 橙雨星瞳 北京邮电大学",4,12:07:47,,,,"03:10:13 (-2)",,,,00:43:38,,"03:50:05 (-1)","03:03:51 (-1)",
233,"team0912 2026杭电12队 杭州电子科技大学",4,12:11:35,,,,"04:11:05 (-1)",,,,02:07:14,,"03:46:36 (-3)",00:46:40,
234,"team0794 来打一辈子算法竞赛吧 北京航空航天大学",4,12:12:27,,,,"04:36:04 (-2)",,,,"00:42:37 (-1)",,"04:02:18 (-2)",01:11:28,
235,"team0150 ZJNU-2 浙江师范大学",4,12:13:10,,,,02:35:28,,,(-5),"02:12:53 (-4)",,02:40:52,"01:23:57 (-6)",
236,"team0197 进击的霓裳 长春理工大学",4,12:36:52,,,,"04:34:31 (-8)",,,,"01:29:36 (-2)",,"01:52:21 (-2)",00:40:24,
237,"team0012 空越之鸽 广东工业大学",4,12:37:09,,,,"01:55:03 (-1)",,(-3),,"03:02:34 (-1)",,02:00:00,"02:59:32 (-6)",
238,"team0929 fduteam09 复旦大学",4,12:42:14,(-1),,,(-6),,(-3),"03:34:03 (-1)","01:43:54 (-7)",,"01:55:42 (-1)",02:28:35,
239,"team0665 NJU-T15 南京大学",4,12:42:38,(-5),,,(-3),,,03:36:18,"04:12:11 (-5)",,02:22:40,00:51:29,
240,"team0919 秋千月 兰州大学",4,12:43:56,,04:27:46,,,,,03:52:16,"02:36:37 (-2)",,,01:07:17,
241,"team0845 北化4队 北京化工大学",4,12:44:06,,,,"04:47:30 (-5)",,,,01:59:43,,02:34:11,"01:02:42 (-2)",
242,"team0785 QZEZ02 衢州第二中学",4,12:46:01,,,,(-4),,(-1),04:59:00,"03:03:09 (-3)",,"02:47:07 (-1)",00:36:45,
243,"team0364 AC自动坤 东南大学",4,12:58:52,,,,01:58:46,,,,03:38:50,,"03:21:13 (-5)",02:20:03,
244,"team0201 nyw 重庆邮电大学",4,13:14:21,,,,03:50:56,,(-1),,"00:56:17 (-2)",,"03:05:15 (-7)","01:41:53 (-2)",
245,"team0354 HNUTEAM03 湖南大学",4,13:14:47,,(-1),,02:45:21,,,,"03:09:08 (-1)",,"04:42:49 (-3)",01:17:29,
246,"team0292 北方工业大学3队 北方工业大学",4,13:14:52,,,,"03:39:45 (-3)",,,,"02:16:48 (-6)",,01:49:29,02:28:50,
247,"team0202 YZUTEAM 扬州大学",4,13:29:02,,,,"03:43:09 (-4)",,,(-1),"01:18:26 (-2)",,"02:36:55 (-1)","03:10:32 (-1)",
248,"team0491 我们仍未知道正解 北京理工大学",4,13:33:11,,,,04:29:27,,,,01:27:13,,"04:35:12 (-6)",01:01:19,
249,"team0463 njupt26t03 南京邮电大学",4,13:35:14,,,,"03:44:45 (-1)",,,,01:32:15,,"04:48:50 (-5)","01:09:24 (-1)",
250,"team0110 浙商大2队 浙江工商大学",4,13:36:23,,,,"04:07:43 (-1)",,,,"03:50:39 (-2)",,"01:24:01 (-1)","02:34:00 (-1)",
251,"team0775 NFLS-T20 南京外国语学校",4,13:37:43,,,,"01:20:50 (-5)",,(-4),,"02:06:58 (-4)",,"02:59:44 (-1)",03:50:11,
252,"team0006 回到夏天 浙江工商大学",4,13:38:08,,,,03:24:48,,,,"02:06:19 (-5)",,"03:18:05 (-1)","02:28:56 (-1)",
253,"team0004 组一辈子ACM队 西安电子科技大学",4,13:39:08,,,,"04:28:15 (-2)",,,,"02:43:47 (-5)",,"02:34:58 (-1)","00:52:08 (-1)",
254,"team0784 QZEZ01 衢州第二中学",4,13:40:37,,,,"04:08:54 (-2)",,,(-3),02:00:57,,"03:22:51 (-5)","01:27:55 (-1)",
255,"team0908 2026杭电8队 杭州电子科技大学",4,13:46:15,(-1),,,"04:45:06 (-3)",,"01:49:40 (-2)",,"02:11:15 (-1)",,(-22),03:00:14,
256,"team0473 njupt26t13 南京邮电大学",4,13:47:21,,,,04:41:08,,,,"02:44:10 (-2)",,03:56:13,01:45:50,
257,"team0144 南方科技大学2队 南方科技大学",4,13:51:10,,,,"04:46:18 (-3)",,,(-1),"02:21:02 (-4)",,"02:55:32 (-1)",01:08:18,
258,"team0278 RJ消灭计划 中国地质大学（武汉）",4,13:54:19,"02:56:10 (-2)",,,,,,,"03:17:08 (-5)",,"04:20:42 (-1)",00:40:19,
259,"team0585 UESTC-5队 电子科技大学",4,14:00:17,,,,"04:15:37 (-1)",,,,"01:17:36 (-2)",,"02:56:54 (-1)","03:50:10 (-1)",
260,"team0295 无限喵喵 成都理工大学",4,14:10:05,,,,04:50:07,,,,"02:34:18 (-2)",,"03:59:56 (-1)",01:45:44,
261,"team0265 我哪有那么坏！！！ 南京理工大学",4,14:29:36,,,,(-4),,,04:45:48,"03:07:48 (-4)",,"03:20:45 (-2)",01:15:15,
262,"team0231 湖工队 湖南工程学院",4,14:41:05,,,,,,,"04:53:24 (-1)",03:15:00,,"03:19:48 (-2)",02:12:53,
263,"team0362 花团锦簇分队 河南工业大学",4,14:51:17,,,,"03:52:28 (-1)",,,(-1),"04:45:05 (-1)",,02:35:17,02:58:27,
264,"team0003 请输入文本 厦门大学嘉庚学院",4,15:09:29,,,,04:15:42,,(-3),,"03:04:29 (-3)",,"03:06:37 (-4)",02:22:41,
265,"team0573 YWZX03 义乌中学",4,15:12:36,,,(-2),02:24:59,,(-2),,"01:01:47 (-2)",,"04:09:14 (-8)","01:16:36 (-9)",
266,"team0790 以应时需 浙江省瑞安中学",4,15:17:48,,,,"02:43:51 (-3)",,,(-10),00:38:43,,"03:18:35 (-8)","03:56:39 (-3)",
267,"team0764 NFLS-T09 南京外国语学校",4,15:19:26,,,,,,(-1),"04:46:59 (-1)","01:50:53 (-1)",,04:18:07,"03:03:27 (-2)",
268,"team0844 北化3队 北京化工大学",4,15:27:45,,,,"04:02:19 (-1)",,,,"03:07:37 (-5)",,"02:00:34 (-5)",02:37:15,
269,"team0181 苏州大学3队 苏州大学",4,15:39:14,,,,"04:56:47 (-5)",,,,"02:31:40 (-6)",,"03:19:32 (-2)",00:31:15,
270,"team0937 HKUST(GZ)002 香港科技大学",4,15:53:06,,,,04:44:28,,,,03:00:19,,02:51:22,"03:36:57 (-5)",
271,"team0472 njupt26t12 南京邮电大学",4,15:54:56,,,,"00:58:07 (-1)",,,,"03:20:13 (-6)",,"04:39:30 (-3)",03:37:06,
272,"team0196 Formula_I_Push 福建理工大学",4,16:04:24,,,,"04:42:07 (-1)",,,,"02:09:48 (-7)",,"02:53:38 (-2)","02:38:51 (-1)",
273,"team0814 nbu6 宁波大学",4,16:27:19,,,,04:25:23,,(-2),,"03:56:04 (-3)",,"04:08:57 (-1)",02:36:55,
274,"team0337 cumt10 中国矿业大学",4,16:52:58,,,,"04:59:47 (-4)",,,,"02:29:47 (-4)",,"04:05:41 (-3)","01:17:43 (-1)",
275,"team0659 NJU-T09 南京大学",4,16:53:46,,,,04:55:44,,,,"01:51:31 (-2)",,"03:34:44 (-1)","04:51:47 (-2)",
276,"team0819 激思构境 大连海事大学",4,17:06:18,,,,04:26:27,,(-2),,"04:45:09 (-3)",,04:46:13,02:08:29,
277,"team0429 csu001 中南大学",4,18:16:20,,,,(-1),,"04:57:32 (-2)",,"01:51:31 (-2)",,"02:30:03 (-6)","04:17:14 (-4)",
278,"team0907 2026杭电7队 杭州电子科技大学",4,18:39:22,,,,"04:45:31 (-10)",,,,"02:23:02 (-7)",,01:44:59,"02:25:50 (-5)",
279,"team0009 大红鹰怎么能是野鸡呢 宁波财经学院",4,18:49:54,,,,03:23:37,,(-4),,"01:55:54 (-7)",,"03:23:30 (-20)",01:06:53,
280,"team0493 贷款也要打XCPC 北京理工大学",4,19:21:51,,,,"03:28:28 (-1)",,(-1),,"03:44:12 (-7)",,"04:38:11 (-3)","02:51:00 (-3)",
281,"team0444 NEU_Team02 东北大学",4,20:11:56,,,,"04:53:26 (-10)",,,(-1),"01:57:18 (-4)",,"03:47:33 (-3)","02:13:39 (-5)",
282,"team0133 这是备用账号 中国计量大学",4,20:57:04,,,,"04:06:59 (-1)",,,,"04:32:18 (-7)",,"04:17:54 (-1)",04:59:53,
283,"team0501 清华1队 清华大学",3,05:10:31,,,,(-4),,,,01:35:54,,02:31:18,01:03:19,
284,"team0343 棱镜球能抓到炫彩猫猫头吗 南京理工大学",3,05:10:32,,,,(-5),,(-3),,"01:45:47 (-1)",,"00:48:54 (-1)",01:55:51,
285,"team0981 金陵1队 南京市第一中学",3,05:13:04,,,,02:37:35,,,,"01:06:57 (-2)",,,00:48:32,
286,"team0900 厦大八队 厦门大学",3,05:22:34,,,,,,,,01:38:06,,03:00:18,00:44:10,
287,"team0137 镇北皇 河北师范大学",3,05:24:10,,,,,,,,"01:17:17 (-2)",,02:46:46,00:40:07,
288,"team0483 星忆黄昏 华南师范大学",3,05:30:00,,,,(-7),,,,"01:58:53 (-1)",,02:18:51,00:52:16,
289,"team0475 njupt26t15 南京邮电大学",3,05:32:03,,,,,,,,"01:39:48 (-1)",,02:49:36,00:42:39,
290,"team0080 dddd 华东理工大学",3,05:44:54,,,,,,,,"01:37:29 (-1)",,"02:40:30 (-1)",00:46:55,
291,"team0010 只想活下去 西南石油大学",3,05:45:21,,,,,,,,"02:11:19 (-4)",,"01:16:53 (-1)",00:37:09,
292,"team0878 NUAA06 南京航空航天大学",3,05:54:34,,,,,,,,"01:10:45 (-1)",,03:41:19,00:42:30,
293,"team0993 Random_Deep_Cat_Tree 北师香港浸会大学",3,06:12:54,,,,03:59:37,,,,01:30:48,,,00:42:29,
294,"team0827 宁静致远 华中科技大学",3,06:16:43,,,,,,,02:55:21,"01:14:53 (-1)",,01:46:29,,
295,"team0361 HNUTEAM10 湖南大学",3,06:18:06,,,,,,,,"01:39:32 (-6)",,02:10:45,00:27:49,
296,"team0805 Name==NULL 南开大学",3,06:21:14,,,,(-1),,(-8),,"01:36:58 (-2)",,03:28:48,00:35:28,
297,"team0697 scut4 华南理工大学",3,06:26:16,,,,(-9),,(-7),,01:04:33,,"02:53:34 (-4)",01:08:09,
298,"team0183 苏州大学5队 苏州大学",3,06:27:45,,,(-1),,,,,"01:27:55 (-6)",,"01:47:42 (-1)","00:32:08 (-1)",
299,"team0151 ZJNU-3 浙江师范大学",3,06:30:56,,,,"00:46:02 (-2)",,,,02:03:59,,"02:40:55 (-1)",(-2),
300,"team0887 奶龙小学 个人训练",3,06:31:26,,,,,,01:54:34,,,,03:46:22,00:50:30,
301,"team0707 迷途之子 吉林大学",3,06:43:01,,,,(-2),,,(-1),01:18:09,,03:21:05,"01:23:47 (-2)",
302,"team0111 浙商大3队 浙江工商大学",3,06:44:57,,,,,,,,"02:57:21 (-4)",,00:51:07,01:36:29,
303,"team0262 我真的能拿牌子吗不如睡大觉 东北大学秦皇岛分校",3,06:59:22,,,,,,,,"01:43:20 (-1)",,01:30:52,03:25:10,
304,"team0162 宁波理工3队 浙大宁波理工学院",3,07:09:39,,,,,,,,01:45:46,,04:10:26,01:13:27,
305,"team0811 nbu3 宁波大学",3,07:11:51,,,,,,,,"01:56:47 (-2)",,04:00:40,00:34:24,
306,"team0446 NEU_Team04 东北大学",3,07:13:50,,,,03:07:27,,,,"01:39:25 (-1)",,"01:46:58 (-1)",(-1),
307,"team0910 2026杭电10队 杭州电子科技大学",3,07:14:02,,,,(-1),,(-3),,"01:12:49 (-2)",,"02:30:46 (-2)","01:30:27 (-2)",
308,"team0402 GXU-T4 广西大学",3,07:16:36,(-3),,,,,(-1),,03:10:17,,"02:04:00 (-1)","01:22:19 (-1)",
309,"team0152 ZJNU-4 浙江师范大学",3,07:18:39,,,,01:07:02,,,(-1),"02:44:05 (-1)",,03:07:32,,
310,"team0459 NEU_Team17 东北大学",3,07:23:31,,,,01:59:20,,,,"00:43:37 (-1)",,(-5),"03:00:34 (-4)",
311,"team0745 新建队伍（1） 哈尔滨工业大学（威海）",3,07:27:10,,,,"03:48:52 (-1)",,,,01:51:52,,"01:06:26 (-1)",,
312,"team0431 csu003 中南大学",3,07:28:03,,,,"04:18:56 (-1)",,,,(-8),,"00:43:41 (-1)","01:25:26 (-1)",
313,"team0753 山海寻径 青岛大学",3,07:35:40,,,,,,(-2),,01:27:35,,"04:46:52 (-2)",00:41:13,
314,"team0332 cumt5 中国矿业大学",3,07:43:11,,,,,,,,01:56:14,,"04:11:01 (-2)",00:55:56,
315,"team0595 提姆夫艾无 天津大学",3,07:53:17,,,,(-8),,,,01:48:09,,"03:42:43 (-3)",01:22:25,
316,"team0329 cumt2 中国矿业大学",3,07:54:03,,,,,,,,"01:54:04 (-2)",,04:31:36,00:48:23,
317,"team0399 队名wa2了 广西大学",3,07:55:48,,,,,,,,"01:58:44 (-2)",,04:11:49,01:05:15,
318,"team0002 小弱0网恋遇到女铁T 大连大学",3,07:58:37,,,,,,(-2),,"01:42:31 (-4)",,"02:00:03 (-3)","01:16:03 (-2)",
319,"team0161 宁波理工2队 浙大宁波理工学院",3,08:19:50,,,,,,,,02:50:36,,03:57:12,01:32:02,
320,"team0272 #define_int_long_long 中国地质大学（武汉）",3,08:21:52,,,,04:22:48,,,,"01:52:29 (-4)",,(-3),00:46:35,
321,"team0593 提姆思睿 天津大学",3,08:25:54,,,,04:06:40,,,,"02:30:36 (-1)",,,01:28:38,
322,"team0154 ZJNU-6 浙江师范大学",3,08:26:59,,,,"03:56:07 (-2)",,,,"01:38:25 (-1)",,,01:52:27,
323,"team0179 苏州大学1队 苏州大学",3,08:33:54,,,,(-4),,,,"03:08:28 (-1)",,"02:21:37 (-1)",02:23:49,
324,"team0025 净赚两块二毛二 河南农业大学",3,08:40:33,,,,,,,,02:30:08,,04:06:28,02:03:57,
325,"team0672 scmzu03 中南民族大学",3,08:41:43,,,,,,,,"02:24:31 (-3)",,"03:34:11 (-2)",01:03:01,
326,"team0117 打ACM但是AC不了只剩M 华东师范大学",3,08:43:53,,,(-2),"03:07:42 (-1)",,,(-2),,,01:21:21,03:54:50,
327,"team0496 打铁是你的谎言 北京理工大学",3,08:45:52,,,,00:52:55,,,,"03:51:33 (-4)",,"02:21:24 (-1)",,
328,"team0637 杭州育才6队 杭州育才中学",3,08:54:22,,,,,,,,03:54:26,,"01:08:24 (-1)",03:31:32,
329,"team0020 ZJUT3 浙江工业大学",3,08:56:53,,,,(-3),,,,"01:44:26 (-2)",,"03:32:40 (-2)",02:19:47,
330,"team0741 hziee1 杭州电子科技大学信息工程学院",3,08:57:21,,,,,,,,"04:29:14 (-1)",,02:31:20,01:36:47,
331,"team0132 我也要打杭电多校吗 中国计量大学",3,09:04:46,,,,,,,,"02:45:00 (-1)",,"04:02:09 (-1)",01:37:37,
332,"team0640 杭州育才9队 杭州育才中学",3,09:11:11,,,,(-10),,,,"04:17:33 (-2)",,"01:34:29 (-1)",02:19:09,
333,"team0803 技术三剑客 南开大学",3,09:17:10,,,,"02:09:14 (-1)",,,,"02:16:21 (-1)",,(-2),"03:31:35 (-2)",(-1)
334,"team0654 NJU-T04 南京大学",3,09:17:45,,,,,,,,03:17:24,,"04:13:42 (-1)",01:26:39,
335,"team0940 HKUST(GZ)005 香港科技大学",3,09:17:50,,,,(-4),,,,"03:59:53 (-6)",,"02:17:32 (-1)","00:20:25 (-1)",
336,"team0699 福建师范大学一队 福建师范大学",3,09:25:35,,,,,,,,"03:01:21 (-3)",,"03:39:35 (-2)",01:04:39,
