CSISO16PORTUGESE  fail: CSISO16PORTUGESE
CSISO17SPANISH  fail: CSISO17SPANISH
CSISO18GREEK7OLD  fail: CSISO18GREEK7OLD
CSISO19LATINGREEK  fail: CSISO19LATINGREEK
CSISO2022CN  fail: CSISO2022CN
CSISO2022JP  fail: CSISO2022JP
CSISO2022JP2  fail: CSISO2022JP2
CSISO2022KR  fail: CSISO2022KR
CSISO2033  fail: CSISO2033
CSISO21GERMAN  fail: CSISO21GERMAN
CSISO25FRENCH  fail: CSISO25FRENCH
CSISO27LATINGREEK1  fail: CSISO27LATINGREEK1
CSISO49INIS  fail: CSISO49INIS
CSISO4UNITEDKINGDOM  fail: CSISO4UNITEDKINGDOM
CSISO50INIS8  fail: CSISO50INIS8
CSISO51INISCYRILLIC  fail: CSISO51INISCYRILLIC
CSISO5427CYRILLIC  fail: CSISO5427CYRILLIC
CSISO5427CYRILLIC1981  fail: CSISO5427CYRILLIC1981
CSISO5428GREEK  fail: CSISO5428GREEK
CSISO58GB1988  fail: CSISO58GB1988
CSISO60DANISHNORWEGIAN  fail: CSISO60DANISHNORWEGIAN
CSISO60NORWEGIAN1  fail: CSISO60NORWEGIAN1
CSISO61NORWEGIAN2  fail: CSISO61NORWEGIAN2
CSISO646DANISH  fail: CSISO646DANISH
CSISO69FRENCH  fail: CSISO69FRENCH
CSISO84PORTUGUESE2  fail: CSISO84PORTUGUESE2
CSISO85SPANISH2  fail: CSISO85SPANISH2
CSISO86HUNGARIAN  fail: CSISO86HUNGARIAN
CSISO88GREEK7  fail: CSISO88GREEK7
CSISO89ASMO449  fail: CSISO89ASMO449
CSISO90  fail: CSISO90
CSISO92JISC62991984B  fail: CSISO92JISC62991984B
CSISO99NAPLPS  fail: CSISO99NAPLPS
CSISOLATIN1  ok: CSISOLATIN1
CSISOLATIN2  ok: CSISOLATIN2
CSISOLATIN3  fail: CSISOLATIN3
CSISOLATIN4  ok: CSISOLATIN4
CSISOLATIN5  ok: CSISOLATIN5
CSISOLATIN6  ok: CSISOLATIN6
CSISOLATINARABIC  fail: CSISOLATINARABIC
CSISOLATINCYRILLIC  ok: CSISOLATINCYRILLIC
CSISOLATINGREEK  fail: CSISOLATINGREEK
CSISOLATINHEBREW  fail: CSISOLATINHEBREW
CSKOI8R  ok: CSKOI8R
CSKSC5636  fail: CSKSC5636
CSMACINTOSH  ok: CSMACINTOSH
CSN_369103  ok: CSN_369103
CSNATSDANO  fail: CSNATSDANO
CSNATSSEFI  fail: CSNATSSEFI
CSPC775BALTIC  ok: CSPC775BALTIC
CSPC850MULTILINGUAL  ok: CSPC850MULTILINGUAL
CSPC858MULTILINGUAL  ok: CSPC858MULTILINGUAL
CSPC862LATINHEBREW  ok: CSPC862LATINHEBREW
CSPC8CODEPAGE437  ok: CSPC8CODEPAGE437
CSPCP852  ok: CSPCP852
CSSHIFTJIS  fail: CSSHIFTJIS
CSUCS4  fail: CSUCS4
CSUNICODE  fail: CSUNICODE
CSWINDOWS31J  fail: CSWINDOWS31J
CUBA  fail: CUBA
CWI  ok: CWI
CWI-2  ok: CWI-2
CYRILLIC  ok: CYRILLIC
DE  fail: DE
DEC  fail: DEC
DEC-MCS  fail: DEC-MCS
DECMCS  fail: DECMCS
DIN_66003  fail: DIN_66003
DK  fail: DK
DS_2089  fail: DS_2089
DS2089  fail: DS2089
E13B  fail: E13B
EBCDIC-AT-DE  fail: EBCDIC-AT-DE
EBCDICATDE  fail: EBCDICATDE
EBCDIC-AT-DE-A  fail: EBCDIC-AT-DE-A
EBCDICATDEA  fail: EBCDICATDEA
EBCDIC-BE  fail: EBCDIC-BE
EBCDIC-BR  fail: EBCDIC-BR
EBCDIC-CA-FR  fail: EBCDIC-CA-FR
EBCDICCAFR  fail: EBCDICCAFR
EBCDIC-CP-AR1  fail: EBCDIC-CP-AR1
EBCDIC-CP-AR2  fail: EBCDIC-CP-AR2
EBCDIC-CP-BE  ok: EBCDIC-CP-BE
EBCDIC-CP-CA  ok: EBCDIC-CP-CA
EBCDIC-CP-CH  ok: EBCDIC-CP-CH
EBCDIC-CP-DK  ok: EBCDIC-CP-DK
EBCDIC-CP-ES  ok: EBCDIC-CP-ES
EBCDIC-CP-FI  ok: EBCDIC-CP-FI
EBCDIC-CP-FR  ok: EBCDIC-CP-FR
EBCDIC-CP-GB  ok: EBCDIC-CP-GB
EBCDIC-CP-GR  fail: EBCDIC-CP-GR
EBCDIC-CP-HE  fail: EBCDIC-CP-HE
EBCDIC-CP-IS  ok: EBCDIC-CP-IS
EBCDIC-CP-IT  ok: EBCDIC-CP-IT
EBCDIC-CP-NL  ok: EBCDIC-CP-NL
EBCDIC-CP-NO  ok: EBCDIC-CP-NO
EBCDIC-CP-ROECE  ok: EBCDIC-CP-ROECE
EBCDIC-CP-SE  ok: EBCDIC-CP-SE
EBCDIC-CP-TR  fail: EBCDIC-CP-TR
EBCDIC-CP-US  ok: EBCDIC-CP-US
EBCDIC-CP-WT  ok: EBCDIC-CP-WT
EBCDIC-CP-YU  ok: EBCDIC-CP-YU
EBCDIC-CYRILLIC  fail: EBCDIC-CYRILLIC
EBCDIC-DK-NO  fail: EBCDIC-DK-NO
EBCDICDKNO  fail: EBCDICDKNO
EBCDIC-DK-NO-A  fail: EBCDIC-DK-NO-A
EBCDICDKNOA  fail: EBCDICDKNOA
EBCDIC-ES  fail: EBCDIC-ES
EBCDICES  fail: EBCDICES
EBCDIC-ES-A  fail: EBCDIC-ES-A
EBCDICESA  fail: EBCDICESA
EBCDIC-ES-S  fail: EBCDIC-ES-S
EBCDICESS  fail: EBCDICESS
EBCDIC-FI-SE  fail: EBCDIC-FI-SE
EBCDICFISE  fail: EBCDICFISE
EBCDIC-FI-SE-A  fail: EBCDIC-FI-SE-A
EBCDICFISEA  fail: EBCDICFISEA
EBCDIC-FR  fail: EBCDIC-FR
EBCDICFR  fail: EBCDICFR
EBCDIC-GREEK  fail: EBCDIC-GREEK
EBCDIC-INT  fail: EBCDIC-INT
EBCDIC-INT1  ok: EBCDIC-INT1
EBCDIC-IS-FRISS  fail: EBCDIC-IS-FRISS
EBCDICISFRISS  fail: EBCDICISFRISS
